College,StudentID,Session,Engagement,Performance,Cognitive_Load,AI_Assistance_Level
College 1,College1_001,1,0.588,70.81,76.35,0.441
College 1,College1_001,2,0.553,65.05,57.51,0.441
College 1,College1_001,3,0.552,72.53,47.3,0.441
College 1,College1_001,4,0.528,63.28,41.9,0.441
College 1,College1_001,5,0.463,66.09,35.37,0.441
College 1,College1_001,6,0.519,59.94,33.92,0.441
College 1,College1_001,7,0.529,62.93,28.49,0.441
College 1,College1_001,8,0.578,71.19,25.3,0.441
College 1,College1_001,9,0.577,73.33,29.47,0.441
College 1,College1_001,10,0.623,73.12,24.93,0.441
College 1,College1_002,1,0.565,69.94,74.08,0.466
College 1,College1_002,2,0.572,76.65,62.09,0.466
College 1,College1_002,3,0.605,61.39,52.34,0.466
College 1,College1_002,4,0.577,73.94,44.46,0.466
College 1,College1_002,5,0.508,67.86,35.33,0.466
College 1,College1_002,6,0.55,68.23,32.34,0.466
College 1,College1_002,7,0.571,70.71,30.68,0.466
College 1,College1_002,8,0.579,62.78,29.83,0.466
College 1,College1_002,9,0.618,71.6,25.36,0.466
College 1,College1_002,10,0.626,74.24,24.82,0.466
College 1,College1_003,1,0.625,77.17,73.46,0.803
College 1,College1_003,2,0.627,75.95,59.3,0.803
College 1,College1_003,3,0.564,65.75,47.26,0.803
College 1,College1_003,4,0.551,72.7,41.27,0.803
College 1,College1_003,5,0.526,71.95,32.58,0.803
College 1,College1_003,6,0.523,81.4,29.64,0.803
College 1,College1_003,7,0.581,73.42,26.97,0.803
College 1,College1_003,8,0.637,77.91,23.07,0.803
College 1,College1_003,9,0.69,78.96,25.37,0.803
College 1,College1_003,10,0.611,70.86,24.46,0.803
College 1,College1_004,1,0.788,73.97,66,0.347
College 1,College1_004,2,0.811,74.69,54.64,0.347
College 1,College1_004,3,0.818,82.36,46.94,0.347
College 1,College1_004,4,0.713,76.74,39.06,0.347
College 1,College1_004,5,0.73,77.32,32.03,0.347
College 1,College1_004,6,0.773,79.62,31.62,0.347
College 1,College1_004,7,0.725,73.36,26.66,0.347
College 1,College1_004,8,0.817,81.18,27.74,0.347
College 1,College1_004,9,0.828,81.92,23.48,0.347
College 1,College1_004,10,0.816,77.34,27.33,0.347
College 1,College1_005,1,0.748,79.42,72.39,0.664
College 1,College1_005,2,0.774,84.34,56.85,0.664
College 1,College1_005,3,0.723,81.05,47.48,0.664
College 1,College1_005,4,0.722,78.86,42.45,0.664
College 1,College1_005,5,0.644,72.24,33.1,0.664
College 1,College1_005,6,0.744,74.05,28.52,0.664
College 1,College1_005,7,0.721,77.28,25.73,0.664
College 1,College1_005,8,0.715,82.23,24.1,0.664
College 1,College1_005,9,0.717,79.77,24.33,0.664
College 1,College1_005,10,0.736,74.78,24.28,0.664
College 1,College1_006,1,0.785,81.18,65.8,0.773
College 1,College1_006,2,0.827,89.3,52.17,0.773
College 1,College1_006,3,0.754,81.91,45.02,0.773
College 1,College1_006,4,0.726,76.11,38.04,0.773
College 1,College1_006,5,0.692,76.02,33.2,0.773
College 1,College1_006,6,0.719,82.82,36.52,0.773
College 1,College1_006,7,0.826,81.97,27.63,0.773
College 1,College1_006,8,0.739,81.86,27.15,0.773
College 1,College1_006,9,0.825,85.02,25.66,0.773
College 1,College1_006,10,0.728,77.88,24.28,0.773
College 1,College1_007,1,0.946,78.92,66.48,0.93
College 1,College1_007,2,0.923,86.75,52.79,0.93
College 1,College1_007,3,0.819,85.16,38.89,0.93
College 1,College1_007,4,0.807,80.62,34.01,0.93
College 1,College1_007,5,0.833,93.3,29.24,0.93
College 1,College1_007,6,0.784,78.85,25.85,0.93
College 1,College1_007,7,0.858,86.14,28.63,0.93
College 1,College1_007,8,0.907,90.62,24.52,0.93
College 1,College1_007,9,0.864,93.96,20.24,0.93
College 1,College1_007,10,0.862,82.36,23.96,0.93
College 1,College1_008,1,0.75,83.61,72.67,0.687
College 1,College1_008,2,0.803,85.43,52.7,0.687
College 1,College1_008,3,0.761,81.01,49.39,0.687
College 1,College1_008,4,0.686,78.19,34.15,0.687
College 1,College1_008,5,0.707,83.78,32.78,0.687
College 1,College1_008,6,0.699,75.96,30.77,0.687
College 1,College1_008,7,0.754,82.98,27.71,0.687
College 1,College1_008,8,0.787,81.48,24.18,0.687
College 1,College1_008,9,0.752,79.85,23.8,0.687
College 1,College1_008,10,0.732,84.22,22.38,0.687
College 1,College1_009,1,0.689,77.33,73.56,0.468
College 1,College1_009,2,0.699,73.86,58.66,0.468
College 1,College1_009,3,0.652,70.73,48.96,0.468
College 1,College1_009,4,0.582,71.85,42.58,0.468
College 1,College1_009,5,0.584,71.96,34.4,0.468
College 1,College1_009,6,0.572,68.4,36.33,0.468
College 1,College1_009,7,0.661,72.55,27.31,0.468
College 1,College1_009,8,0.666,75.59,24.85,0.468
College 1,College1_009,9,0.655,68.35,28.1,0.468
College 1,College1_009,10,0.642,67.94,26.29,0.468
College 1,College1_010,1,0.642,84.79,74.64,0.713
College 1,College1_010,2,0.626,72.05,56.73,0.713
College 1,College1_010,3,0.622,71.77,48.5,0.713
College 1,College1_010,4,0.593,71.42,42.89,0.713
College 1,College1_010,5,0.595,65.4,34.25,0.713
College 1,College1_010,6,0.59,71.59,31.53,0.713
College 1,College1_010,7,0.666,74.05,29.49,0.713
College 1,College1_010,8,0.617,75.49,25.47,0.713
College 1,College1_010,9,0.675,78.87,25.44,0.713
College 1,College1_010,10,0.626,82.82,24.12,0.713
College 1,College1_011,1,0.756,88.95,65.37,0.874
College 1,College1_011,2,0.793,84.89,56.44,0.874
College 1,College1_011,3,0.774,88.27,43.21,0.874
College 1,College1_011,4,0.742,82.39,38.89,0.874
College 1,College1_011,5,0.721,89.43,28.42,0.874
College 1,College1_011,6,0.676,86.19,27.13,0.874
College 1,College1_011,7,0.703,79.39,26.1,0.874
College 1,College1_011,8,0.827,89.82,24.65,0.874
College 1,College1_011,9,0.807,87.64,22.61,0.874
College 1,College1_011,10,0.747,87.82,24.04,0.874
College 1,College1_012,1,0.628,70.37,76.03,0.423
College 1,College1_012,2,0.697,72.42,59.4,0.423
College 1,College1_012,3,0.66,73.52,52.45,0.423
College 1,College1_012,4,0.578,66.09,39.07,0.423
College 1,College1_012,5,0.564,67.38,33.05,0.423
College 1,College1_012,6,0.558,64.53,32.42,0.423
College 1,College1_012,7,0.627,80.3,30.43,0.423
College 1,College1_012,8,0.696,75.71,27.49,0.423
College 1,College1_012,9,0.647,70.54,21.89,0.423
College 1,College1_012,10,0.664,74.96,24.73,0.423
College 1,College1_013,1,0.799,88.29,70.91,0.626
College 1,College1_013,2,0.788,83.88,53.59,0.626
College 1,College1_013,3,0.784,77.39,45.64,0.626
College 1,College1_013,4,0.728,78.24,38.3,0.626
College 1,College1_013,5,0.784,78.03,39.01,0.626
College 1,College1_013,6,0.77,75.38,31.67,0.626
College 1,College1_013,7,0.783,85.19,26.75,0.626
