College,StudentID,Program,AbilityGroup,Engagement,AI_Assistance_Level,Performance,Cognitive_Load,Retention,Satisfaction
College 1,College1_001,Humanities,Medium,0.547,0.441,73.62,56.4,1,87.9
College 1,College1_002,STEM,Medium,0.559,0.466,76.16,53.46,0,92.8
College 1,College1_003,Humanities,Medium,0.585,0.803,71.36,55.56,0,100
College 1,College1_004,Professional,Medium,0.772,0.347,72.76,56.27,1,94.7
College 1,College1_005,STEM,High,0.701,0.664,82.12,47.32,1,93.8
College 1,College1_006,Professional,Medium,0.756,0.773,74.88,50.53,1,100
College 1,College1_007,Humanities,High,0.844,0.93,88.38,40.18,1,100
College 1,College1_008,Humanities,Medium,0.729,0.687,76.05,51.58,1,98.2
College 1,College1_009,Social Sciences,Medium,0.631,0.468,73.2,54.12,1,95.3
College 1,College1_010,Professional,High,0.6,0.713,82.99,52.65,1,100
College 1,College1_011,STEM,High,0.749,0.874,93.41,46.02,1,100
College 1,College1_012,Social Sciences,Medium,0.628,0.423,61.94,59.19,1,84.7
College 1,College1_013,Professional,Medium,0.782,0.626,78,56.95,1,95.3
College 1,College1_014,STEM,Medium,0.625,0.636,69.3,43.63,0,97
College 1,College1_015,Social Sciences,Medium,0.593,0.762,73.1,54.33,1,98.7
College 1,College1_016,STEM,High,0.741,0.719,82.03,43.8,1,96.7
College 1,College1_017,Social Sciences,Medium,0.71,0.261,71.5,53.62,1,89
College 1,College1_018,STEM,Medium,0.666,0.641,73.13,57.49,1,82
College 1,College1_019,Professional,Medium,0.531,0.779,75.32,60.96,1,88.7
College 1,College1_020,STEM,Medium,0.661,0.785,77.76,49.31,1,100
College 1,College1_021,Professional,Medium,0.522,0.533,72.47,63.95,0,97.6
College 1,College1_022,STEM,High,0.766,0.702,89.93,51.03,0,100
College 1,College1_023,STEM,Medium,0.635,0.602,77.43,50.76,1,92.5
College 1,College1_024,Social Sciences,High,0.801,0.783,84.75,42.37,1,100
College 1,College1_025,STEM,Medium,0.532,0.756,75.77,60.63,1,100
College 1,College1_026,STEM,Medium,0.604,0.778,60.41,57.16,0,88.1
College 1,College1_027,Humanities,Medium,0.728,0.867,78.53,43.08,0,100
College 1,College1_028,Social Sciences,Medium,0.719,0.5,75.13,42.31,1,93.7
College 1,College1_029,STEM,Medium,0.664,0.465,62.55,54.34,0,88.9
